id,item_id,review,rating,user_id,sentiment_insights,timestamp
58,4,"Panipuri was kinda meh, lacked that spicy kick I craved.",2,18,,2023-09-04 15:29:04.458748
59,2,"Veg noodles were aight, needed more veggies though.",3,18,,2023-08-06 17:40:20.393748
60,10,"Tea is my jam, always gets the day going.",4,18,,2023-08-29 11:22:19.410748
61,3,"Maggi is the OG comfort snack, never disappoints.",4,19,,2023-08-26 08:50:05.971748
62,6,"Chicken roll is fire, so dang tasty!",5,19,,2023-08-08 12:17:47.971748
63,11,"Fruit juice was a letdown, too watery.",2,19,,2023-08-06 10:12:57.448748
64,2,"Veg noodles were a miss, too bland for my taste.",2,20,,2023-08-20 13:19:27.942748
65,10,"Tea is bae, can't start the day without it.",4,20,,2023-09-05 10:33:48.011748
66,9,"Ice tea was just meh, expected better flavor.",3,20,,2023-08-13 11:45:26.148748
67,1,"Non veg noodles were so-so, needed more punch.",3,21,,2023-07-31 17:03:16.186748
68,7,"Veg roll was a flop, not enough flavor.",2,21,,2023-09-03 08:42:40.177748
69,8,"Coffee was lit, a real wake-me-up!",4,21,,2023-08-27 09:52:44.585748
70,6,"Chicken roll - a party in my mouth, loved every bite!",5,22,,2023-09-07 19:28:09.355748
71,9,"Ice tea was a disaster, tasted like water.",1,22,,2023-08-09 13:42:31.640748
72,4,"Panipuri is bomb, that spiciness is addictive!",5,22,,2023-08-22 14:19:04.194748
73,3,"Maggi is my go-to savior, the ultimate quick snack!",5,23,,2023-08-16 12:37:27.782748
74,11,"Fruit juice was so-so, could be more fruity.",3,23,,2023-08-29 16:25:48.323748
75,8,Coffee - the best buddy for late-night studying.,4,23,,2023-08-15 18:48:56.010748
76,8,"Coffee was a lifesaver, kept me alive during exams!",5,24,,2023-08-22 18:05:20.680748
77,10,"Tea was meh, needed more strength.",3,24,,2023-09-17 13:08:46.807748
78,4,"Panipuri - an explosion of flavors, loved it!",5,24,,2023-09-10 10:34:26.272748
79,7,"Veg roll was a disappointment, bland as heck.",2,25,,2023-08-23 16:26:10.490748
80,1,"Non veg noodles were decent, but lacking that oomph.",3,25,,2023-08-28 13:52:23.901748
81,11,"Fruit juice was refreshing, a good break drink.",4,25,,2023-08-03 19:41:28.814748
82,9,"Ice tea was alright, nothing special.",3,26,,2023-08-19 12:38:11.027748
